artist,song,danceability,energy,loudness,valence,yt_views,yt_likes,yt_comments,streams
Gorillaz,Feel Good Inc.,0.818,0.705,-6.679,0.772,693555221.0,6220896.0,169907.0,1040234854.0
Gorillaz,Rhinestone Eyes,0.676,0.703,-5.815,0.852,72011645.0,1079128.0,31003.0,310083733.0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,-3.93,0.551,8435055.0,282142.0,7399.0,63063467.0
Gorillaz,On Melancholy Hill,0.689,0.739,-5.81,0.578,211754952.0,1788577.0,55229.0,434663559.0
Gorillaz,Clint Eastwood,0.663,0.694,-8.627,0.525,618480958.0,6197318.0,155930.0,617259738.0
Gorillaz,DARE,0.76,0.891,-5.852,0.966,259021161.0,1844658.0,72008.0,323850327.0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.716,0.897,-7.185,0.358,451996.0,11686.0,241.0,10666154.0
Gorillaz,She's My Collar (feat. Kali Uchis),0.726,0.815,-5.886,0.462,1010982.0,17675.0,260.0,159605929.0
Gorillaz,Cracker Island (feat. Thundercat),0.741,0.913,-3.34,0.643,24459820.0,739527.0,20296.0,42671901.0
Gorillaz,Dirty Harry,0.625,0.877,-7.176,0.865,154761056.0,1386920.0,39240.0,191074713.0
Red Hot Chili Peppers,Californication,0.592,0.767,-2.788,0.328,1018811259.0,4394471.0,121452.0,1055738398.0
Red Hot Chili Peppers,Under the Bridge,0.559,0.345,-13.496,0.458,246687714.0,1213572.0,32761.0,1061750522.0
Red Hot Chili Peppers,Can't Stop,0.618,0.938,-3.442,0.875,336635759.0,1740224.0,32573.0,866464951.0
Red Hot Chili Peppers,Scar Tissue,0.595,0.717,-4.803,0.547,435121530.0,1890900.0,37069.0,613838674.0
Red Hot Chili Peppers,Otherside,0.458,0.795,-3.265,0.513,673528656.0,3140356.0,60091.0,732774515.0
Red Hot Chili Peppers,Snow (Hey Oh),0.427,0.9,-3.674,0.599,320871237.0,1272266.0,37004.0,860722316.0
Red Hot Chili Peppers,Dani California,0.556,0.913,-2.36,0.73,324228662.0,1456622.0,49461.0,550067391.0
Red Hot Chili Peppers,By the Way,0.451,0.97,-4.938,0.198,179005296.0,784717.0,20084.0,367485508.0
Red Hot Chili Peppers,Give It Away,0.666,0.936,-9.919,0.776,86637926.0,434837.0,16029.0,301947159.0
Red Hot Chili Peppers,Dark Necessities,0.7,0.742,-6.777,0.197,440037964.0,2094182.0,56516.0,385677873.0
50 Cent,In Da Club,0.902,0.72,-2.776,0.805,1682616458.0,10481678.0,296745.0,1041736808.0
50 Cent,Candy Shop,0.614,0.574,-7.961,0.755,838974650.0,5014527.0,113251.0,701248893.0
50 Cent,Just A Lil Bit,0.489,0.692,-6.672,0.527,476133463.0,2523312.0,42075.0,395155110.0
