pitchfork_artist,spotify_artist,score
massive attack,Massive Attack,100
chance the rapper,Chance the Rapper,100
jeremih,Jeremih,100
nine inch nails,Nine Inch Nails,100
kacey musgraves,Kacey Musgraves,100
ray charles,Ray Charles,100
pantera,Pantera,100
gucci mane,Gucci Mane,100
kid cudi,Kid Cudi,100
deadmau5,deadmau5,100
post malone,Post Malone,100
bob dylan,Bob Dylan,100
j. cole,J. Cole,100
pink floyd,Pink Floyd,100
flume,Flume,100
soundgarden,Soundgarden,100
the rolling stones,The Rolling Stones,100
lil uzi vert,Lil Uzi Vert,100
childish gambino,Childish Gambino,100
fetty wap,Fetty Wap,100
miranda lambert,Miranda Lambert,100
john legend,John Legend,100
yoko ono,Yoko Ono,100
john lennon,John Lennon,100
r.e.m.,R.E.M.,100
bruno mars,Bruno Mars,100
yg,YG,100
the weeknd,The Weeknd,100
kate bush,Kate Bush,100
e-40,E-40,100
ice cube,Ice Cube,100
future,Future,100
metallica,Metallica,100
leonard cohen,Leonard Cohen,100
tinashe,Tinashe,100
a tribe called quest,A Tribe Called Quest,100
french montana,French Montana,100
alicia keys,Alicia Keys,100
the chainsmokers,The Chainsmokers,100
jeezy,Jeezy,100
abba,ABBA,100
fugees,Fugees,100
rich the kid,Rich The Kid,100
otis redding,Otis Redding,100
meek mill,Meek Mill,100
tove lo,Tove Lo,100
lady gaga,Lady Gaga,100
ramones,Ramones,100
jimmy eat world,Jimmy Eat World,100
kings of leon,Kings of Leon,100
lizzo,Lizzo,100
norah jones,Norah Jones,100
green day,Green Day,100
janet jackson,Janet Jackson,100
oasis,Oasis,100
phantogram,Phantogram,100
pixies,Pixies,100
bon iver,Bon Iver,100
moor mother,Mother Mother,95
ty dolla $ign,Ty Dolla $ign,100
fleetwood mac,Fleetwood Mac,100
erykah badu,Erykah Badu,100
bruce springsteen,Bruce Springsteen,100
usher,Usher,100
led zeppelin,Led Zeppelin,100
mac miller,Mac Miller,100
nick cave & the bad seeds,Nick Cave & The Bad Seeds,100
m.i.a.,M.I.A.,100
caetano veloso,Caetano Veloso,100
travis scott,Travis Scott,100
carly rae jepsen,Carly Rae Jepsen,100
young thug,Young Thug,100
prince,Prince,100
the beach boys,The Beach Boys,100
vince staples,Vince Staples,100
crystal castles,Crystal Castles,100
frank ocean,Frank Ocean,100
tory lanez,Tory Lanez,100
stevie wonder,Stevie Wonder,100
partynextdoor,PARTYNEXTDOOR,100
rae sremmurd,Rae Sremmurd,100
2 chainz,2 Chainz,100
dj snake,DJ Snake,100
elvis presley,Elvis Presley,100
michael jackson,Michael Jackson,100
dj khaled,DJ Khaled,100
steve aoki,Steve Aoki,100
red hot chili peppers,Red Hot Chili Peppers,100
nina simone,Nina Simone,100
lil durk,Lil Durk,100
lil yachty,Lil Yachty,100
snoop dogg,Snoop Dogg,100
21 savage,21 Savage,100
metro boomin,Metro Boomin,100
migos,Migos,100
schoolboy q,ScHoolboy Q,100
gojira,Gojira,100
aphex twin,Aphex Twin,100
the game,The Game,100
blink-182,blink-182,100
disclosure,Disclosure,100
mitski,Mitski,100
george harrison,George Harrison,100
kodak black,Kodak Black,100
van morrison,Van Morrison,100
nick jonas,Nick Jonas,100
the temper trap,The Temper Trap,100
paul simon,Paul Simon,100
the strokes,The Strokes,100
fifth harmony,Fifth Harmony,100
