pf_artist,sp_artist,score,pf_clean,sp_clean
dj mustard,Mustard,95,dj mustard,mustard
jhann jhannsson,Jóhann Jóhannsson,93,jhann jhannsson,jóhann jóhannsson
lauryn hill,Ms. Lauryn Hill,95,lauryn hill,ms lauryn hill
odonis odonis,Colby O'Donis,95,odonis odonis,colby odonis
ryan adams,Bryan Adams,95,ryan adams,bryan adams
sun city girls,City Girls,95,sun city girls,city girls
david lang,Lang Lang,95,david lang,lang lang
motrhead,Motörhead,94,motrhead,motörhead
prodigy,The Prodigy,100,prodigy,prodigy
lv,L.V.,100,lv,lv
200 years,Years & Years,95,200 years,years  years
the pretenders,Pretenders,100,pretenders,pretenders
the early years,Years & Years,95,early years,years  years
the silent years,Years & Years,95,silent years,years  years
the capitol years,Years & Years,95,capitol years,years  years
animals,The Animals,100,animals,animals
elefant,Elefante,93,elefant,elefante
klaus lang,Lang Lang,95,klaus lang,lang lang
the ghost,Ghost,100,ghost,ghost
