artist,review_count,avg_score,min_score,max_score,first_review_year,last_review_year,track_count,total_streams,total_yt_views,avg_danceability,avg_energy,avg_valence,log10_total_streams
2 Chainz,7,6.6000000000000005,4.5,7.7,2012,2016,10.0,1995600087.0,898368236.0,0.7164,0.6567000000000001,0.46159999999999995,9.300073514200607
50 Cent,6,5.266666666666667,1.8,7.0,2003,2014,10.0,4059566414.0,4560240727.0,0.7149,0.7083,0.7081000000000001,9.608479650803089
A Tribe Called Quest,2,9.5,9.0,10.0,2015,2016,10.0,740669596.0,143591509.0,0.8495999999999999,0.5365,0.6901999999999999,8.869624517514511
A$AP Ferg,3,7.066666666666666,6.4,7.5,2013,2016,10.0,1992470252.0,495040750.0,0.7598,0.7297,0.38630000000000003,9.29939184600858
A$AP Rocky,3,8.166666666666666,7.8,8.5,2011,2015,10.0,3306084916.0,1151745928.0,0.6612,0.5698,0.49432,9.519314004128535
ABBA,2,8.6,8.6,8.6,2012,2016,10.0,3347361606.0,1969452551.0,0.6285000000000001,0.7350000000000001,0.7221,9.524702630495703
Al Green,2,7.75,6.8,8.7,2008,2009,10.0,903407448.0,90168492.0,0.7239,0.4196,0.6668000000000001,8.955883666712388
Alessia Cara,2,6.05,5.5,6.6,2015,2015,10.0,3798983895.0,881029285.0,0.5395,0.5725,0.3847,9.579667452457732
Alex G,2,7.550000000000001,7.2,7.9,2014,2015,10.0,281187396.0,6737396.0,0.6054999999999999,0.5065000000000001,0.40207,8.448995849881468
Alicia Keys,2,6.8,6.5,7.1,2012,2016,10.0,3675485196.0,2013525538.0,0.5635000000000001,0.5538,0.3318,9.565314677851923
Aloe Blacc,2,7.2,6.7,7.7,2006,2010,10.0,777236994.0,176077863.0,0.6157999999999999,0.6411,0.5480999999999999,8.890553463450784
Amy Winehouse,5,5.220000000000001,3.1,6.4,2007,2015,10.0,2809015226.0,1894403480.0,0.6192,0.48170000000000013,0.6386999999999999,9.448554093259911
Anderson .Paak,2,7.8,7.0,8.6,2015,2016,10.0,1984638861.0,950860259.0,0.7064000000000001,0.6557999999999999,0.7636000000000001,9.297681490976233
Aphex Twin,7,7.985714285714286,5.5,9.4,2001,2016,10.0,385065807.0,31694827.0,0.5115000000000001,0.30598,0.28508999999999995,8.585534955936373
Arcade Fire,5,8.539999999999997,6.8,9.7,2004,2013,10.0,698693851.0,91590709.0,0.4316,0.657779,0.43359999999999993,8.844286921172591
Arctic Monkeys,7,6.8428571428571425,4.5,8.0,2006,2013,10.0,7284386122.0,2299622789.0,0.5477,0.6616,0.573,9.862392958293873
Ariana Grande,3,7.266666666666667,6.5,7.7,2013,2016,10.0,10857411888.0,4458245963.0,0.6464000000000001,0.6299,0.47009999999999996,10.035726313584746
Audioslave,2,4.25,1.7,6.8,2002,2005,10.0,1419408012.0,1583477897.0,0.4476,0.7693,0.3557,9.152107252321336
Beach House,6,8.533333333333333,8.1,9.1,2006,2015,10.0,1072244477.0,109991272.0,0.4662,0.6317,0.3351,9.030293817919176
Beastie Boys,9,7.455555555555555,4.6,10.0,2004,2011,10.0,1056353552.0,340502524.0,0.7030000000000001,0.8017,0.6361000000000001,9.023809296971109
Beck,10,7.110000000000001,6.2,8.5,2000,2014,10.0,664349009.0,217537416.0,0.6483,0.7690999999999999,0.647,8.82239629151
Bee Gees,2,8.0,7.2,8.8,2008,2009,10.0,2634668438.0,1256853152.0,0.5917999999999999,0.6055,0.6424,9.420725968843728
Ben&Ben,5,7.340000000000001,6.3,8.4,2003,2011,10.0,1040359602.0,,0.496,0.4194,0.36750000000000005,9.017183479847258
Beyoncé,5,7.640000000000001,5.7,8.8,2006,2016,10.0,5178560129.0,4046292476.0,0.6629,0.6794,0.5875,9.714209023267152
Big Sean,2,6.6,6.1,7.1,2011,2015,10.0,4035984728.0,1748330736.0,0.7471,0.6367,0.34473000000000004,9.605949514215547
Billie Holiday,2,9.3,9.0,9.6,2005,2007,10.0,385354245.0,24054266.0,0.4989,0.10500000000000001,0.27244999999999997,8.585860147466107
Black Sabbath,2,6.6,6.2,7.0,2006,2013,10.0,121524221.0,302115372.0,0.3804,0.53874,0.42200000000000004,8.08466284582158
Blondie,2,8.85,8.0,9.7,2006,2008,10.0,855396870.0,946738349.0,0.6566,0.733,0.8283999999999999,8.932167656787971
Blur,7,8.585714285714285,7.0,9.4,1999,2015,10.0,1221412025.0,312303959.0,0.6228999999999999,0.7524000000000001,0.7401,9.086862191380689
Bob Dylan,16,7.518749999999999,1.3,10.0,2004,2016,10.0,1608463381.0,169948060.0,0.48760000000000003,0.35542999999999997,0.49319999999999997,9.206411178007237
Bon Iver,5,8.28,6.9,9.5,2007,2016,10.0,2300996984.0,209376453.0,0.4584,0.23171,0.19195,9.361916049423526
Bonobo,2,6.8,6.0,7.6,2002,2013,10.0,267059529.0,33891968.0,0.6072,0.6004999999999999,0.32426999999999995,8.426608078722628
Boosie Badazz,4,7.299999999999999,6.9,7.6,2015,2016,10.0,251925575.0,201213604.0,0.7957,0.6193000000000001,0.5062,8.401272258476958
