artist,artist_norm,n_reviews,is_various,is_suspicious_token,artist_spotify,match_type,score,spotify_artist_id
neil young,neil young,23,False,False,Neil Young,exact_norm,1.0,
david bowie,david bowie,21,False,False,David Bowie,exact_norm,1.0,
the beatles,the beatles,21,False,False,The Beatles,exact_norm,1.0,
gucci mane,gucci mane,20,False,False,Gucci Mane,exact_norm,1.0,
lil wayne,lil wayne,17,False,False,Lil Wayne,exact_norm,1.0,
prince,prince,17,False,False,Prince,exact_norm,1.0,
bob dylan,bob dylan,16,False,False,Bob Dylan,exact_norm,1.0,
r.e.m.,r.e.m.,16,False,False,R.E.M.,jaccard_token,1.0,
miles davis,miles davis,14,False,False,Miles Davis,exact_norm,1.0,
sebastian,sebastian,14,False,False,Sebastian,exact_norm,1.0,
death cab for cutie,death cab for cutie,13,False,False,Death Cab for Cutie,exact_norm,1.0,
future,future,13,False,False,Future,exact_norm,1.0,
nine inch nails,nine inch nails,13,False,False,Nine Inch Nails,exact_norm,1.0,
radiohead,radiohead,13,False,False,Radiohead,exact_norm,1.0,
atmosphere,atmosphere,12,False,False,Atmosphere,exact_norm,1.0,
damien jurado,damien jurado,12,False,False,Damien Jurado,exact_norm,1.0,
johnny cash,johnny cash,12,False,False,Johnny Cash,exact_norm,1.0,
modest mouse,modest mouse,12,False,False,Modest Mouse,exact_norm,1.0,
sufjan stevens,sufjan stevens,12,False,False,Sufjan Stevens,exact_norm,1.0,
ty segall,ty segall,12,False,False,Ty Segall,exact_norm,1.0,
bruce springsteen,bruce springsteen,11,False,False,Bruce Springsteen,exact_norm,1.0,
curren$y,curren$y,11,False,False,Curren$y,exact_norm,1.0,
ghostface killah,ghostface killah,11,False,False,Ghostface Killah,exact_norm,1.0,
james brown,james brown,11,False,False,James Brown,exact_norm,1.0,
m83,m83,11,False,False,M83,exact_norm,1.0,
spoon,spoon,11,False,False,Spoon,exact_norm,1.0,
the smashing pumpkins,the smashing pumpkins,11,False,False,The Smashing Pumpkins,exact_norm,1.0,
beck,beck,10,False,False,Beck,exact_norm,1.0,
bibio,bibio,10,False,False,Bibio,exact_norm,1.0,
coldplay,coldplay,10,False,False,Coldplay,exact_norm,1.0,
hot chip,hot chip,10,False,False,Hot Chip,exact_norm,1.0,
interpol,interpol,10,False,False,Interpol,exact_norm,1.0,
jay z,jay z,10,False,False,JAY-Z,exact_norm,1.0,
jeezy,jeezy,10,False,False,Jeezy,exact_norm,1.0,
young thug,young thug,10,False,False,Young Thug,exact_norm,1.0,
beastie boys,beastie boys,9,False,False,Beastie Boys,exact_norm,1.0,
death grips,death grips,9,False,False,Death Grips,exact_norm,1.0,
diplo,diplo,9,False,False,Diplo,exact_norm,1.0,
dirty projectors,dirty projectors,9,False,False,Dirty Projectors,exact_norm,1.0,
foo fighters,foo fighters,9,False,False,Foo Fighters,exact_norm,1.0,
junior boys,junior boys,9,False,False,Junior Boys,exact_norm,1.0,
kanye west,kanye west,9,False,False,Kanye West,exact_norm,1.0,
madlib,madlib,9,False,False,Madlib,exact_norm,1.0,
nas,nas,9,False,False,Nas,exact_norm,1.0,
oasis,oasis,9,False,False,Oasis,exact_norm,1.0,
rick ross,rick ross,9,False,False,Rick Ross,exact_norm,1.0,
t.i.,t.i.,9,False,False,T.I.,jaccard_token,1.0,
the raveonettes,the raveonettes,9,False,False,The Raveonettes,exact_norm,1.0,
weezer,weezer,9,False,False,Weezer,exact_norm,1.0,
yeah yeah yeahs,yeah yeah yeahs,9,False,False,Yeah Yeah Yeahs,exact_norm,1.0,
caribou,caribou,8,False,False,Caribou,exact_norm,1.0,
chief keef,chief keef,8,False,False,Chief Keef,exact_norm,1.0,
daft punk,daft punk,8,False,False,Daft Punk,exact_norm,1.0,
deerhunter,deerhunter,8,False,False,Deerhunter,exact_norm,1.0,
depeche mode,depeche mode,8,False,False,Depeche Mode,exact_norm,1.0,
freddie gibbs,freddie gibbs,8,False,False,Freddie Gibbs,exact_norm,1.0,
ghost,ghost,8,False,False,Ghost,exact_norm,1.0,
kurt vile,kurt vile,8,False,False,Kurt Vile,exact_norm,1.0,
lcd soundsystem,lcd soundsystem,8,False,False,LCD Soundsystem,exact_norm,1.0,
leonard cohen,leonard cohen,8,False,False,Leonard Cohen,exact_norm,1.0,
lupe fiasco,lupe fiasco,8,False,False,Lupe Fiasco,exact_norm,1.0,
massive attack,massive attack,8,False,False,Massive Attack,exact_norm,1.0,
matthew dear,matthew dear,8,False,False,Matthew Dear,exact_norm,1.0,
moby,moby,8,False,False,Moby,exact_norm,1.0,
snow patrol,snow patrol,8,False,False,Snow Patrol,exact_norm,1.0,
the beach boys,the beach boys,8,False,False,The Beach Boys,exact_norm,1.0,
the black keys,the black keys,8,False,False,The Black Keys,exact_norm,1.0,
the national,the national,8,False,False,The National,exact_norm,1.0,
toro y moi,toro y moi,8,False,False,Toro y Moi,exact_norm,1.0,
wale,wale,8,False,False,Wale,exact_norm,1.0,
woods,woods,8,False,False,Woods,exact_norm,1.0,
!!!,!!!,7,False,False,!!!,exact_norm,1.0,
2 chainz,2 chainz,7,False,False,2 Chainz,exact_norm,1.0,
action bronson,action bronson,7,False,False,Action Bronson,exact_norm,1.0,
aphex twin,aphex twin,7,False,False,Aphex Twin,exact_norm,1.0,
arctic monkeys,arctic monkeys,7,False,False,Arctic Monkeys,exact_norm,1.0,
big k.r.i.t.,big k.r.i.t.,7,False,False,Big K.R.I.T.,jaccard_token,1.0,
blur,blur,7,False,False,Blur,exact_norm,1.0,
burial,burial,7,False,False,Burial,exact_norm,1.0,
drake,drake,7,False,False,Drake,exact_norm,1.0,
french montana,french montana,7,False,False,French Montana,exact_norm,1.0,
gorillaz,gorillaz,7,False,False,Gorillaz,exact_norm,1.0,
grizzly bear,grizzly bear,7,False,False,Grizzly Bear,exact_norm,1.0,
james blake,james blake,7,False,False,James Blake,exact_norm,1.0,
kevin gates,kevin gates,7,False,False,Kevin Gates,exact_norm,1.0,
kings of leon,kings of leon,7,False,False,Kings of Leon,exact_norm,1.0,
m.i.a.,m.i.a.,7,False,False,M.I.A.,jaccard_token,1.0,
madonna,madonna,7,False,False,Madonna,exact_norm,1.0,
new order,new order,7,False,False,New Order,exact_norm,1.0,
nirvana,nirvana,7,False,False,Nirvana,exact_norm,1.0,
pearl jam,pearl jam,7,False,False,Pearl Jam,exact_norm,1.0,
pet shop boys,pet shop boys,7,False,False,Pet Shop Boys,exact_norm,1.0,
phoenix,phoenix,7,False,False,Phoenix,exact_norm,1.0,
pixies,pixies,7,False,False,Pixies,exact_norm,1.0,
queens of the stone age,queens of the stone age,7,False,False,Queens of the Stone Age,exact_norm,1.0,
r. kelly,r. kelly,7,False,False,R. Kelly,jaccard_token,1.0,
raekwon,raekwon,7,False,False,Raekwon,exact_norm,1.0,
snoop dogg,snoop dogg,7,False,False,Snoop Dogg,exact_norm,1.0,
the game,the game,7,False,False,The Game,exact_norm,1.0,
the go! team,the go! team,7,False,False,The Go! Team,exact_norm,1.0,
the velvet underground,the velvet underground,7,False,False,The Velvet Underground,exact_norm,1.0,
the weeknd,the weeknd,7,False,False,The Weeknd,exact_norm,1.0,
tv on the radio,tv on the radio,7,False,False,TV On The Radio,exact_norm,1.0,
willie nelson,willie nelson,7,False,False,Willie Nelson,exact_norm,1.0,
wiz khalifa,wiz khalifa,7,False,False,Wiz Khalifa,exact_norm,1.0,
50 cent,50 cent,6,False,False,50 Cent,exact_norm,1.0,
a-trak,a-trak,6,False,False,A-Trak,jaccard_token,1.0,
beach house,beach house,6,False,False,Beach House,exact_norm,1.0,
blu,blu,6,False,False,Blu,exact_norm,1.0,
e-40,e-40,6,False,False,E-40,jaccard_token,1.0,
elliott smith,elliott smith,6,False,False,Elliott Smith,exact_norm,1.0,
eminem,eminem,6,False,False,Eminem,exact_norm,1.0,
fatboy slim,fatboy slim,6,False,False,Fatboy Slim,exact_norm,1.0,
franz ferdinand,franz ferdinand,6,False,False,Franz Ferdinand,exact_norm,1.0,
how to dress well,how to dress well,6,False,False,How To Dress Well,exact_norm,1.0,
iggy pop,iggy pop,6,False,False,Iggy Pop,exact_norm,1.0,
justice,justice,6,False,False,Justice,exact_norm,1.0,
kid cudi,kid cudi,6,False,False,Kid Cudi,exact_norm,1.0,
led zeppelin,led zeppelin,6,False,False,Led Zeppelin,exact_norm,1.0,
major lazer,major lazer,6,False,False,Major Lazer,exact_norm,1.0,
max richter,max richter,6,False,False,Max Richter,exact_norm,1.0,
michael jackson,michael jackson,6,False,False,Michael Jackson,exact_norm,1.0,
muse,muse,6,False,False,Muse,exact_norm,1.0,
paul mccartney,paul mccartney,6,False,False,Paul McCartney,exact_norm,1.0,
phosphorescent,phosphorescent,6,False,False,Phosphorescent,exact_norm,1.0,
ratatat,ratatat,6,False,False,Ratatat,exact_norm,1.0,
rihanna,rihanna,6,False,False,Rihanna,exact_norm,1.0,
soundgarden,soundgarden,6,False,False,Soundgarden,exact_norm,1.0,
the cinematic orchestra,the cinematic orchestra,6,False,False,The Cinematic Orchestra,exact_norm,1.0,
the cure,the cure,6,False,False,The Cure,exact_norm,1.0,
the strokes,the strokes,6,False,False,The Strokes,exact_norm,1.0,
the white stripes,the white stripes,6,False,False,The White Stripes,exact_norm,1.0,
wiley,wiley,6,False,False,Wiley,exact_norm,1.0,
wu-tang clan,wu-tang clan,6,False,False,Wu-Tang Clan,jaccard_token,1.0,
amy winehouse,amy winehouse,5,False,False,Amy Winehouse,exact_norm,1.0,
arcade fire,arcade fire,5,False,False,Arcade Fire,exact_norm,1.0,
baroness,baroness,5,False,False,Baroness,exact_norm,1.0,
ben,ben,5,False,False,Ben&Ben,jaccard_token,1.0,
best coast,best coast,5,False,False,Best Coast,exact_norm,1.0,
beyonc,beyonc,5,False,False,Beyoncé,jaccard_token,1.0,
bon iver,bon iver,5,False,False,Bon Iver,exact_norm,1.0,
caetano veloso,caetano veloso,5,False,False,Caetano Veloso,exact_norm,1.0,
chromeo,chromeo,5,False,False,Chromeo,exact_norm,1.0,
ciara,ciara,5,False,False,Ciara,exact_norm,1.0,
com truise,com truise,5,False,False,Com Truise,exact_norm,1.0,
danny brown,danny brown,5,False,False,Danny Brown,exact_norm,1.0,
electric six,electric six,5,False,False,Electric Six,exact_norm,1.0,
