artist,n_reviews,artist_norm,is_various,is_suspicious_token
!!!,7,!!!,False,False
-ziq,6,-ziq,False,False
...,10,...,False,False
10 in the swear jar,1,10 in the swear jar,False,False
11:11,1,11:11,False,False
12 rods,2,12 rods,False,False
120 days,2,120 days,False,False
13ghosts,2,13ghosts,False,False
13th floor elevators,1,13th floor elevators,False,False
1990s,2,1990s,False,False
2 chainz,7,2 chainz,False,False
2 many djs,1,2 many djs,False,False
20 miles,1,20 miles,False,False
20 minute loop,1,20 minute loop,False,False
200 years,1,200 years,False,False
21 savage,1,21 savage,False,False
22-20s,1,22-20s,False,False
23 skidoo,1,23 skidoo,False,False
24-carat black,1,24-carat black,False,False
2562,3,2562,False,False
28th day,1,28th day,False,False
2:54,2,2:54,False,False
2ne1,1,2ne1,False,False
2pac,1,2pac,False,False
31knots,4,31knots,False,False
4 hero,1,4 hero,False,False
50 cent,6,50 cent,False,False
50footwave,2,50footwave,False,False
60 watt kid,1,60 watt kid,False,False
6th borough project,1,6th borough project,False,False
7 days of funk,1,7 days of funk,False,False
7 hertz,1,7 hertz,False,False
7 worlds collide,1,7 worlds collide,False,False
7 year bitch,1,7 year bitch,False,False
7 year rabbit cycle,1,7 year rabbit cycle,False,False
764-hero,2,764-hero,False,False
808 state,1,808 state,False,False
8ball,1,8ball,False,False
90 day men,3,90 day men,False,False
9th wonder,4,9th wonder,False,False
a band of bees,4,a band of bees,False,False
a band of gypsies,1,a band of gypsies,False,False
a camp,1,a camp,False,False
a certain ratio,2,a certain ratio,False,False
a cloud mireya,1,a cloud mireya,False,False
a cricket in times square,1,a cricket in times square,False,False
a giant dog,1,a giant dog,False,False
a grape dope,1,a grape dope,False,False
a grave,1,a grave,False,False
a gun called tension,1,a gun called tension,False,False
a guy called gerald,2,a guy called gerald,False,False
a hacksaw,5,a hacksaw,False,False
a hawk,5,a hawk,False,False
a lull,2,a lull,False,False
a minor forest,1,a minor forest,False,False
a mountain of one,1,a mountain of one,False,False
a northern chorus,1,a northern chorus,False,False
a place to bury strangers,5,a place to bury strangers,False,False
a pleasure,1,a pleasure,False,False
a silver mt. zion,1,a silver mt. zion,False,False
a sunny day in glasgow,5,a sunny day in glasgow,False,False
a tribe called quest,2,a tribe called quest,False,False
a tribe called red,1,a tribe called red,False,False
a trillion barnacle lapse,1,a trillion barnacle lapse,False,False
a weather,2,a weather,False,False
a winged victory for the sullen,2,a winged victory for the sullen,False,False
a$ap ferg,3,a$ap ferg,False,False
a$ap mob,2,a$ap mob,False,False
a$ap rocky,3,a$ap rocky,False,False
a-frames,1,a-frames,False,False
a-trak,6,a-trak,False,False
a-wax,1,a-wax,False,False
a.a. bondy,2,a.a. bondy,False,False
a.c. newman,3,a.c. newman,False,False
a.r.e. weapons,1,a.r.e. weapons,False,False
aarktica,3,aarktica,False,False
aaron abernathy,1,aaron abernathy,False,False
aaron dessner,1,aaron dessner,False,False
aaron dilloway,1,aaron dilloway,False,False
ab-soul,3,ab-soul,False,False
abba,2,abba,False,False
abcs,1,abcs,False,False
abdel hadi halo,1,abdel hadi halo,False,False
abe vigoda,3,abe vigoda,False,False
aberdeen,2,aberdeen,False,False
aberfeldy,1,aberfeldy,False,False
abi reimold,1,abi reimold,False,False
abilene,1,abilene,False,False
abilities,2,abilities,False,False
about,1,about,False,False
about group,1,about group,False,False
abra,1,abra,False,False
abraxas,1,abraxas,False,False
absentee,2,absentee,False,False
absolute grey,1,absolute grey,False,False
absolutely free,1,absolutely free,False,False
abstrackt keal agram,2,abstrackt keal agram,False,False
absu,2,absu,False,False
aby ngana diop,1,aby ngana diop,False,False
abysmal lord,1,abysmal lord,False,False
abyss,1,abyss,False,False
acephalix,1,acephalix,False,False
aceyalone,5,aceyalone,False,False
acid casuals,1,acid casuals,False,False
acid house kings,2,acid house kings,False,False
acid mothers temple,10,acid mothers temple,False,False
acrylics,1,acrylics,False,False
action,1,action,False,False
action bronson,7,action bronson,False,False
action time,1,action time,False,False
actionslacks,1,actionslacks,False,False
active child,4,active child,False,False
actress,4,actress,False,False
actual water,1,actual water,False,False
ad astra per aspera,1,ad astra per aspera,False,False
ada,3,ada,False,False
adam franklin,1,adam franklin,False,False
adam green,6,adam green,False,False
adam torres,1,adam torres,False,False
add n to (x),2,add n to (x),False,False
addison groove,1,addison groove,False,False
adele,1,adele,False,False
adem,3,adem,False,False
aden,1,aden,False,False
adia victoria,1,adia victoria,False,False
adorable,1,adorable,False,False
adr,2,adr,False,False
adrian orange,1,adrian orange,False,False
adrian younge,3,adrian younge,False,False
adult jazz,2,adult jazz,False,False
adult mom,1,adult mom,False,False
adult.,6,adult.,False,False
advance base,2,advance base,False,False
adventure,2,adventure,False,False
adventure time,1,adventure time,False,False
aereogramme,4,aereogramme,False,False
aero,1,aero,False,False
aeroc,1,aeroc,False,False
aeron,1,aeron,False,False
aeroplane,1,aeroplane,False,False
aesop rock,8,aesop rock,False,False
aether,1,aether,False,False
afcgt,1,afcgt,False,False
afflictions,1,afflictions,False,False
africa express,1,africa express,False,False
africa hitech,1,africa hitech,False,False
africaine 808,1,africaine 808,False,False
african head charge,1,african head charge,False,False
african virtuoses,1,african virtuoses,False,False
africans,1,africans,False,False
afrika bambaataa,1,afrika bambaataa,False,False
afrirampo,2,afrirampo,False,False
afterhours,1,afterhours,False,False
afx,7,afx,False,False
against me!,3,against me!,False,False
agalloch,4,agalloch,False,False
agf,1,agf,False,False
agoraphobic nosebleed,3,agoraphobic nosebleed,False,False
agrimonia,1,agrimonia,False,False
ahleuchatistas,5,ahleuchatistas,False,False
ahmad szabo,1,ahmad szabo,False,False
aidan moffat,2,aidan moffat,False,False
aids wolf,2,aids wolf,False,False
aimee mann,2,aimee mann,False,False
air,10,air,False,False
air france,1,air france,False,False
air waves,2,air waves,False,False
airbird,1,airbird,False,False
airborn audio,1,airborn audio,False,False
airhead,1,airhead,False,False
airiel,1,airiel,False,False
airport 5,2,airport 5,False,False
aix em klemm,1,aix em klemm,False,False
aki onda,1,aki onda,False,False
aki tsuyuko,1,aki tsuyuko,False,False
akio suzuki,1,akio suzuki,False,False
akira kosemura,1,akira kosemura,False,False
akira sakata,1,akira sakata,False,False
akitsa,1,akitsa,False,False
akrobatik,1,akrobatik,False,False
akron,7,akron,False,False
akufen,2,akufen,False,False
al green,2,al green,False,False
alabama shakes,2,alabama shakes,False,False
alamaailman vasarat,1,alamaailman vasarat,False,False
alan braxe,1,alan braxe,False,False
alan singley,1,alan singley,False,False
alan sparhawk,1,alan sparhawk,False,False
alan splet,1,alan splet,False,False
alanis morissette,1,alanis morissette,False,False
alarm will sound,2,alarm will sound,False,False
alasdair roberts,5,alasdair roberts,False,False
alaska in winter,2,alaska in winter,False,False
alaska!,2,alaska!,False,False
albert ayler,2,albert ayler,False,False
albert hammond jr.,4,albert hammond jr.,False,False
albert marcoeur,1,albert marcoeur,False,False
alcest,4,alcest,False,False
aldebaran,1,aldebaran,False,False
alec deruggiero,1,alec deruggiero,False,False
alec empire,1,alec empire,False,False
alejandra,1,alejandra,False,False
alejandro escovedo,2,alejandro escovedo,False,False
aleks,1,aleks,False,False
alela diane,3,alela diane,False,False
alessandro baricco,1,alessandro baricco,False,False
alessandro cortini,1,alessandro cortini,False,False
alessandro stefana,1,alessandro stefana,False,False
alessia cara,2,alessia cara,False,False
alex bleeker,2,alex bleeker,False,False
alex burkat,1,alex burkat,False,False
alex calder,1,alex calder,False,False
alex cameron,1,alex cameron,False,False
alex chilton,2,alex chilton,False,False
alex clare,1,alex clare,False,False
alex delivery,1,alex delivery,False,False
alex g,2,alex g,False,False
alex izenberg,1,alex izenberg,False,False
alex moulton,1,alex moulton,False,False
alex smoke,2,alex smoke,False,False
alex turner,1,alex turner,False,False
alex winston,1,alex winston,False,False
alexander,1,alexander,False,False
alexander spit,2,alexander spit,False,False
alexander tucker,1,alexander tucker,False,False
alexander turnquist,1,alexander turnquist,False,False
alexi murdoch,1,alexi murdoch,False,False
alexis taylor,4,alexis taylor,False,False
alfie,2,alfie,False,False
algiers,1,algiers,False,False
ali farka tour,2,ali farka tour,False,False
alias,6,alias,False,False
alice bag,1,alice bag,False,False
alice boman,1,alice boman,False,False
alice cohen,1,alice cohen,False,False
alice gerrard,1,alice gerrard,False,False
alice in chains,1,alice in chains,False,False
alicia keys,2,alicia keys,False,False
alina simone,4,alina simone,False,False
alison krauss,1,alison krauss,False,False
alkaline trio,1,alkaline trio,False,False
all,1,all,False,False
all dogs,1,all dogs,False,False
all girl summer fun band,3,all girl summer fun band,False,False
all natural,1,all natural,False,False
all night radio,1,all night radio,False,False
all smiles,1,all smiles,False,False
all the saints,1,all the saints,False,False
all tiny creatures,1,all tiny creatures,False,False
all we are,1,all we are,False,False
all-time quarterback,1,all-time quarterback,False,False
allah-las,1,allah-las,False,False
allan kingdom,1,allan kingdom,False,False
allen ginsberg,1,allen ginsberg,False,False
allen toussaint,1,allen toussaint,False,False
allo darlin',3,allo darlin',False,False
almaz,1,almaz,False,False
aloe blacc,2,aloe blacc,False,False
alog,4,alog,False,False
aloha,5,aloha,False,False
alpha,1,alpha,False,False
alpha 606,1,alpha 606,False,False
alphabeat,1,alphabeat,False,False
alpinestars,1,alpinestars,False,False
alpoko don,1,alpoko don,False,False
alraune,1,alraune,False,False
alsace lorraine,2,alsace lorraine,False,False
alt-j,2,alt-j,False,False
altar of plagues,1,altar of plagues,False,False
alter ego,1,alter ego,False,False
alternator,1,alternator,False,False
aluk todolo,2,aluk todolo,False,False
aluminium group,3,aluminium group,False,False
